company,role,location,url,description
"Nimbus Analytics","Data Scientist","Remote","https://example.com/jobs/nimbus-data-scientist","We are looking for a Data Scientist with strong Python, SQL, and machine learning skills. Experience with scikit-learn, pandas, and statistical modeling is required. Familiarity with A/B testing, feature engineering, and time series forecasting is a plus. You will work closely with product and engineering teams, communicate findings to stakeholders, and build predictive models that drive business decisions. Experience with AWS or GCP and Tableau for visualization is a bonus."
"BrightPath AI","Machine Learning Engineer","San Francisco, CA","https://example.com/jobs/brightpath-mle","BrightPath AI is hiring a Machine Learning Engineer to build and deploy production ML systems. Required: Python, PyTorch or TensorFlow, Docker, Kubernetes, and MLOps experience. You will design training pipelines, work with large language models (LLMs), and collaborate with the platform team on model serving using AWS SageMaker. Experience with Airflow and CI/CD pipelines is preferred."
"Vertex Cloud Solutions","Generative AI Engineer","Remote","https://example.com/jobs/vertex-genai-engineer","Join our GenAI team building LLM-powered products. Must have hands-on experience with prompt engineering, LangChain or LlamaIndex, RAG (retrieval augmented generation) architectures, and vector databases. Strong Python skills required. Experience with Hugging Face transformers, fine-tuning, and Google Cloud (Vertex AI) is highly desired. Excellent communication and stakeholder management skills needed."
"DataForge Inc.","Data Analyst","New York, NY","https://example.com/jobs/dataforge-analyst","We seek a Data Analyst proficient in SQL, Excel, and Power BI or Tableau for dashboarding. Python or R for analysis is a plus. You will partner with business stakeholders, run ad-hoc analyses, and present insights clearly. Strong communication and presentation skills required."
"Quantum Insights","Senior Data Scientist","Boston, MA","https://example.com/jobs/quantum-senior-ds","Senior Data Scientist role requiring 5+ years experience with Python, machine learning, deep learning, and statistics. Must have led projects involving predictive modeling and time series analysis. Experience with Spark or PySpark for big data, Snowflake, and cloud platforms (AWS/Azure) required. Leadership and mentoring experience preferred."
"CivicTech Labs","NLP Engineer","Remote","https://example.com/jobs/civictech-nlp","NLP Engineer needed to build natural language processing pipelines for text classification and information extraction. Required: Python, spaCy or NLTK-equivalent skills, transformers, and Hugging Face. Experience with LLMs and prompt engineering is a strong plus. Familiarity with Docker and REST APIs for deployment required."
"Skyline Retail Co.","Business Intelligence Analyst","Chicago, IL","https://example.com/jobs/skyline-bi-analyst","BI Analyst role focused on building dashboards in Tableau and Power BI, writing complex SQL queries, and partnering with merchandising teams. Excel expertise required. Exposure to Python for automation is a plus. Strong stakeholder management and communication skills essential."
"Frontier Robotics","Computer Vision Engineer","Pittsburgh, PA","https://example.com/jobs/frontier-cv-engineer","Computer Vision Engineer to develop perception algorithms using Python, OpenCV, and PyTorch. Experience with deep learning model deployment, C++ for performance-critical code, and Linux environments required. Knowledge of Docker and Kubernetes for deployment is a plus."
"Lumen Health","Healthcare Data Scientist","Remote","https://example.com/jobs/lumen-health-ds","Healthcare Data Scientist to analyze clinical and claims data using Python, SQL, and statistical modeling. Experience with machine learning, feature engineering, and predictive modeling for patient outcomes required. Familiarity with data privacy/compliance and strong communication skills needed."
"Orbit Fintech","MLOps Engineer","Austin, TX","https://example.com/jobs/orbit-mlops","MLOps Engineer to build and maintain ML infrastructure using Docker, Kubernetes, Airflow, and CI/CD pipelines. Strong Python skills required plus experience with AWS SageMaker or GCP Vertex AI. Familiarity with model monitoring, feature stores, and Terraform is a plus."
